hgnc_id,canonical_aa_length
5,495
24086,602
7,1474
23336,1454
30005,340
18149,353
17968,340
13666,546
21298,672
17,399
24427,401
32037,407
32038,407
17929,429
25662,315
19679,961
30205,147
18,435
19,252
15886,384
33842,155
20,968
21022,985
28417,412
23993,1098
14235,309
17366,926
19235,560
21,1374
23,500
29,2261
32,2436
33,1704
34,2273
35,1642
36,1617
37,2146
38,1621
39,1624
30,1543
14637,2595
14638,5058
40,1280
45,1286
46,1257
47,842
48,753
49,735
50,766
41,738
42,1321
51,1531
53,1545
54,1527
55,1325
56,1437
57,1503
59,1603
60,1549
52,1492
14639,1382
14640,1359
61,745
66,740
67,659
68,606
69,599
70,845
71,623
72,709
73,678
74,655
13884,646
13886,651
13887,673
17553,405
18717,425
18718,409
20154,342
21396,349
21398,337
23759,439
25656,306
16407,315
15868,404
19837,362
20293,337
24538,271
28235,210
26971,468
13921,558
16128,469
28756,361
24278,293
26925,329
26111,464
11320,508
24011,513
29859,366
17265,1075
1364,181
76,1149
77,1182
78,778
19195,645
29132,683
79,373
81,859
30655,381
21230,81
25829,409
28975,415
17369,272
18275,478
23842,1025
82,424
83,397
84,2383
85,2458
87,415
21497,621
21597,1090
30211,780
88,430
89,454
90,412
91,432
92,678
319,2530
16467,740
16469,778
16754,834
93,427
94,397
15453,528
23337,341
23338,534
23339,282
17715,88
23989,501
34391,568
25070,544
2707,1306
13557,805
18356,264
23675,275
16066,267
108,617
17066,1341
4035,338
1565,384
23692,362
1611,350
115,1101
19288,336
117,889
118,780
33904,481
33128,421
18431,483
19748,421
33159,207
24157,380
15919,319
17152,448
18156,607
24436,555
20999,140
119,660
120,681
121,700
25621,580
122,158
123,423
14376,426
124,325
29609,428
33781,438
125,418
126,421
17195,543
127,265
29567,724
24174,666
26101,640
27288,576
3569,698
3570,720
3571,711
16526,739
16496,722
18049,577
32017,577
30931,577
10522,586
32016,580
26060,579
31665,480
16091,689
15814,714
24723,686
129,377
130,377
132,375
17780,376
143,377
144,375
145,376
24124,429
160,426
161,435
162,415
24018,366
28494,416
16127,245
163,914
164,894
165,944
166,911
167,376
168,376
169,399
170,418
17256,418
37282,210
14671,607
24025,396
14672,624
17372,417
24027,376
24026,377
24022,372
171,509
172,546
