symbol,hgnc_id,num_unique_missense,num_unique_missense_vus
TTN,HGNC:12403,8076,5449
BRCA2,HGNC:1101,7433,4663
ATM,HGNC:795,5000,4181
APC,HGNC:583,4381,3663
MSH6,HGNC:7329,3115,2509
NF1,HGNC:7765,3412,2396
BRCA1,HGNC:1100,4333,2364
POLE,HGNC:9177,2273,2176
MSH2,HGNC:7325,2118,1611
PALB2,HGNC:26144,2039,1568
TSC2,HGNC:12363,2366,1552
BRIP1,HGNC:20473,1760,1500
RYR2,HGNC:10484,1720,1488
DICER1,HGNC:17098,1486,1310
PMS2,HGNC:9122,1566,1275
PLEC,HGNC:9069,1496,1265
RAD50,HGNC:9816,1409,1250
BARD1,HGNC:952,1354,1182
SYNE1,HGNC:17089,1445,1150
CDH1,HGNC:1748,1329,1142
RECQL4,HGNC:9949,1247,1124
POLD1,HGNC:9175,1150,1102
CHEK2,HGNC:16627,1328,1090
NEB,HGNC:7720,1539,1083
SMARCA4,HGNC:11100,1157,1083
FBN1,HGNC:3603,2475,1069
APOB,HGNC:603,1332,1064
DSP,HGNC:3052,1276,1044
MYH7,HGNC:7577,1432,1001
MLH1,HGNC:7127,1341,970
NBN,HGNC:7652,1137,952
RYR1,HGNC:10483,1246,924
ALK,HGNC:427,968,904
PTCH1,HGNC:9585,1106,879
AXIN2,HGNC:904,908,852
BLM,HGNC:1058,978,829
FLNC,HGNC:3756,933,829
SCN5A,HGNC:10593,1092,790
MSH3,HGNC:7326,887,787
WRN,HGNC:12791,837,755
DMD,HGNC:2928,1217,698
MYBPC3,HGNC:7551,1112,685
RET,HGNC:9967,791,676
TSC1,HGNC:12362,1017,671
MET,HGNC:7029,730,668
MUTYH,HGNC:7527,790,665
PDGFRA,HGNC:8803,705,659
TP53,HGNC:11998,1091,649
ALMS1,HGNC:428,916,641
COL6A3,HGNC:2213,826,630
USH2A,HGNC:12601,1089,616
MYH11,HGNC:7569,694,612
ADGRV1,HGNC:17416,820,595
VPS13B,HGNC:2183,820,595
SDHA,HGNC:10680,669,585
STK11,HGNC:11389,704,568
FBN2,HGNC:3604,681,564
CFTR,HGNC:1884,971,562
SYNE2,HGNC:17084,822,558
MRE11,HGNC:7230,609,549
KIT,HGNC:6342,589,543
RAD51C,HGNC:9820,611,539
BAP1,HGNC:950,610,533
BMPR1A,HGNC:1076,622,530
LAMA2,HGNC:6482,686,519
SCN9A,HGNC:10597,607,517
ANK2,HGNC:493,618,516
RELN,HGNC:9957,578,513
DNAH11,HGNC:2942,676,512
NOTCH1,HGNC:7881,600,510
SZT2,HGNC:29040,549,503
DIS3L2,HGNC:28648,522,501
KCNH2,HGNC:6251,899,499
SPG11,HGNC:11226,608,497
DYSF,HGNC:3097,701,494
CASR,HGNC:1514,593,493
PKHD1,HGNC:9016,801,490
TERT,HGNC:11730,528,484
RYR3,HGNC:10485,543,483
CACNA1A,HGNC:1388,632,473
CACNA1H,HGNC:1395,582,459
CDH23,HGNC:13733,636,456
FANCA,HGNC:3582,606,451
SCN1A,HGNC:10585,1070,446
COL12A1,HGNC:2188,495,444
COL5A1,HGNC:2209,569,431
FANCM,HGNC:23168,484,428
DNAH5,HGNC:2950,599,427
DST,HGNC:1090,468,424
MYH6,HGNC:7576,494,422
MEN1,HGNC:7010,634,409
CTNNA1,HGNC:2509,419,408
RAD51D,HGNC:9823,466,397
DSG2,HGNC:3049,512,395
GAA,HGNC:4065,608,395
PTEN,HGNC:9588,652,394
FLNA,HGNC:3754,563,391
COL3A1,HGNC:2201,927,388
CNTNAP2,HGNC:13830,415,379
CACNA1C,HGNC:1390,438,378
DYNC1H1,HGNC:2961,498,376
RB1,HGNC:9884,573,372
SACS,HGNC:10519,617,370
FLCN,HGNC:27310,503,367
CHD7,HGNC:20626,612,366
LYST,HGNC:1968,413,365
MYO7A,HGNC:7606,584,361
SLX4,HGNC:23845,431,360
PKP2,HGNC:9024,504,357
AGRN,HGNC:329,420,354
POLG,HGNC:9179,538,353
SMAD4,HGNC:6770,474,349
DSC2,HGNC:3036,415,345
POT1,HGNC:17284,363,342
MYLK,HGNC:7590,418,340
CDKN2A,HGNC:1787,401,337
COL6A2,HGNC:2212,471,332
PCDH15,HGNC:14674,454,331
LMNA,HGNC:6636,551,324
AKAP9,HGNC:379,438,323
FASN,HGNC:3594,385,323
FH,HGNC:3700,492,322
AGL,HGNC:321,426,319
RBM20,HGNC:27424,402,316
EYS,HGNC:21555,469,311
SBF2,HGNC:2135,330,311
DOCK8,HGNC:19191,356,310
SCN4A,HGNC:10591,443,310
LRBA,HGNC:1742,350,304
PRKDC,HGNC:9413,341,302
JMJD1C,HGNC:12313,345,299
NRXN1,HGNC:8008,322,297
FANCC,HGNC:3584,359,293
NTHL1,HGNC:8028,315,293
SCN10A,HGNC:10582,352,287
NPHP4,HGNC:19104,347,286
VHL,HGNC:12687,478,285
DNAH1,HGNC:2940,383,284
MYPN,HGNC:23246,333,284
EGFR,HGNC:3236,370,282
WT1,HGNC:12796,313,281
HCN4,HGNC:16882,314,279
HSPG2,HGNC:5273,383,277
COL5A2,HGNC:2210,327,271
PCNT,HGNC:16068,406,271
DNAH8,HGNC:2952,336,269
CACNA1S,HGNC:1397,359,266
ACTN2,HGNC:164,299,263
SCN2A,HGNC:10588,490,263
