hgnc_id,gene,clinvar_missense_vus,missense_vus_unique,missense_vus_movable_unique,missense_vus_observed,missense_vus_movable_observed,from_invitae,missense_vus_movability_fraction,missense_vus_occurance_per_variant,weighted_movability_fraction,weighted_occurance_per_variant,marwis,aa_length,dais,rank_by_clinvar_vus,rank_by_marwis,rank_dais
11998,TP53,649,532,106,1270,222,TRUE,0.19924812,2.387218045,0.197825367,2.374543909,304.8645178,393,0.439919939,48,18,1
7577,MYH7,1001,654,325,1091,480,TRUE,0.496941896,1.668195719,0.492183834,1.666546391,821.0674393,1935,0.367367982,29,3,2
16627,CHEK2,1090,758,77,2173,209,TRUE,0.101583113,2.866754617,0.101600128,2.852811633,315.9321696,586,0.356582584,23,15,3
7325,MSH2,1611,1146,107,3124,305,TRUE,0.093368237,2.72600349,0.09343648,2.717724186,409.0886115,934,0.331514272,9,11,4
7329,MSH6,2509,1722,144,4499,392,TRUE,0.083623693,2.612659698,0.083714276,2.607661104,547.710842,1360,0.32994629,5,8,5
12687,VHL,285,236,57,593,122,TRUE,0.241525424,2.512711864,0.236990566,2.480547995,167.5419448,213,0.326592485,137,36,6
795,ATM,4181,3107,307,7988,751,TRUE,0.098809141,2.57096878,0.098820449,2.568299747,1061.140031,3056,0.316191904,3,1,7
7127,MLH1,970,705,85,1845,198,TRUE,0.120567376,2.617021277,0.120372648,2.604843914,304.145401,756,0.288016478,30,19,8
1101,BRCA2,4663,3040,281,7240,669,TRUE,0.092434211,2.381578947,0.092462499,2.37934833,1025.862301,3418,0.275917779,2,2,9
1100,BRCA1,2364,1442,148,3152,311,TRUE,0.102635229,2.185852982,0.102638412,2.182243938,529.4935744,1884,0.242442113,7,9,10
7765,NF1,2396,1782,257,3925,487,TRUE,0.144219978,2.202581369,0.144036703,2.199583079,759.1023835,2839,0.241829367,6,4,11
7527,MUTYH,665,489,49,1446,130,TRUE,0.100204499,2.957055215,0.100252914,2.934112094,195.6119354,546,0.231219782,46,31,12
26144,PALB2,1568,1141,88,3095,222,TRUE,0.077125329,2.712532866,0.077306961,2.704311324,327.8093568,1186,0.22059849,10,13,13
11389,STK11,568,391,38,1140,93,TRUE,0.097186701,2.915601023,0.097307514,2.887853912,159.6136146,433,0.217753908,56,40,14
9175,POLD1,1102,970,88,3035,244,TRUE,0.090721649,3.128865979,0.090823822,3.11580134,311.8538635,1133,0.217623073,22,16,15
9177,POLE,2176,1992,181,5573,417,TRUE,0.090863454,2.797690763,0.090912849,2.792626855,552.4552043,2286,0.213633103,8,7,16
20473,BRIP1,1500,1017,86,2600,196,TRUE,0.084562439,2.55653884,0.084707998,2.548540206,323.8226084,1249,0.209052685,12,14,17
7652,NBN,952,723,66,1833,133,TRUE,0.091286307,2.53526971,0.091416824,2.524286882,219.6856988,754,0.208430454,31,23,18
9122,PMS2,1275,956,62,2705,159,TRUE,0.064853556,2.829497908,0.065171886,2.818727916,234.2198133,862,0.201566104,15,22,19
583,APC,3663,2355,164,5543,300,TRUE,0.069639066,2.353715499,0.069752729,2.35093259,600.6732576,2843,0.191114622,4,6,20
9820,RAD51C,539,378,31,1077,95,TRUE,0.082010582,2.849206349,0.082449995,2.821900805,125.4068163,376,0.185513042,62,51,21
1076,BMPR1A,530,357,40,913,90,TRUE,0.112044818,2.557422969,0.111851228,2.534941673,150.2742592,532,0.1806181,64,43,22
9823,RAD51D,397,306,30,868,59,TRUE,0.098039216,2.836601307,0.098171013,2.803355767,109.2576853,348,0.168607539,93,67,23
1748,CDH1,1142,791,51,2081,111,TRUE,0.064475348,2.630847029,0.064863202,2.619841941,194.0615857,882,0.164180699,20,32,24
9816,RAD50,1250,925,73,2476,167,TRUE,0.078918919,2.676756757,0.079127222,2.666938597,263.7843028,1312,0.163637905,17,21,25
9588,PTEN,394,244,38,455,71,TRUE,0.155737705,1.864754098,0.15407023,1.854181392,112.5556168,403,0.160107563,96,62,26
1787,CDKN2A,337,19,4,20,5,TRUE,0.210526316,1.052631579,0.178729559,1.194581878,71.95188991,167,0.154072569,116,96,27
6636,LMNA,324,206,52,377,90,TRUE,0.252427184,1.830097087,0.246849056,1.818942573,145.4773796,664,0.150910145,119,46,28
952,BARD1,1182,804,40,2208,102,TRUE,0.049751244,2.746268657,0.050277953,2.734302599,162.4956136,777,0.150878007,18,39,29
904,AXIN2,852,785,56,2115,167,TRUE,0.07133758,2.694267516,0.07165914,2.682539358,163.778651,843,0.143288409,35,38,30
17098,DICER1,1310,1078,107,2584,221,TRUE,0.099257885,2.39703154,0.099287015,2.390657192,310.943193,1922,0.139938431,14,17,31
12363,TSC2,1552,1335,142,2273,239,TRUE,0.106367041,1.702621723,0.106348249,1.701603657,280.853907,1807,0.133295637,11,20,32
7551,MYBPC3,685,426,64,877,169,TRUE,0.150234742,2.058685446,0.149367968,2.048971684,209.6447547,1274,0.133192347,42,24,33
11949,TNNT2,147,97,29,184,57,TRUE,0.298969072,1.896907216,0.284054267,1.869082959,78.04538564,298,0.130510678,290,88,34
10681,SDHB,255,242,27,620,77,TRUE,0.111570248,2.561983471,0.111302792,2.529014843,71.77903553,280,0.123756958,155,97,35
7010,MEN1,409,362,46,791,105,TRUE,0.127071823,2.185082873,0.126555941,2.170955975,112.3716767,615,0.122810576,91,64,36
3700,FH,322,304,42,676,70,TRUE,0.138157895,2.223684211,0.137261853,2.20594138,97.49889556,510,0.120369007,122,74,37
7326,MSH3,787,771,64,2039,140,TRUE,0.083009079,2.64461738,0.083216557,2.633188332,172.4512707,1137,0.120007843,39,35,38
